# timestamp, qw, qx, qy, qz, tx, ty, tz
1668497714635,-0.985778,0.1672813,0.015474662,-0.004393548,0.034832172,-0.019886926,0.034518503
1668497717166,-0.98545945,-0.13786185,-0.09912924,-0.0060949028,-0.22724162,-0.0848009,0.79299927
1668497717792,-0.9917759,-0.1223086,-0.03719263,0.0061509907,-0.29160047,-0.05680327,1.3577452
1668497718441,-0.9928204,-0.11674836,-0.01895408,0.017836899,-0.2675103,-0.06616431,2.0445187
1668497719069,-0.9935523,-0.11253311,-0.013537545,0.002598852,-0.29142612,-0.08395562,2.7254004
1668497719652,-0.9904142,-0.12688243,-0.053287458,0.011866033,-0.3108731,-0.112375624,3.4347718
1668497720218,-0.9887141,-0.14565423,-0.03429649,0.0072797537,-0.3619144,-0.084467426,3.9372714
1668497720850,-0.9873568,-0.14221224,-0.06981269,-0.0053195655,-0.3367123,-0.08552663,4.4361467
1668497721500,-0.9882163,-0.14816645,-0.031531032,-0.021931976,-0.37248898,-0.07468609,4.846294
1668497722403,-0.98044217,-0.18975204,-0.051714562,-0.0072565377,-0.3385293,-0.09025089,5.290008
1668497725168,-0.98708093,-0.15380043,-0.042935662,-0.01315853,-0.40053913,-0.07900655,6.0546966
1668497725879,-0.9901175,-0.13573357,-0.033555236,0.010843933,-0.4778747,-0.06724332,6.4989815
1668497726736,-0.9830785,-0.16964619,-0.06910443,-0.001131177,-0.45179987,-0.07487753,7.121359
1668497727522,-0.98499393,-0.1632574,-0.055833355,0.004076928,-0.537503,-0.06403574,7.6790257
1668497728270,-0.9847194,-0.15464884,-0.079913534,-0.005005151,-0.5346086,-0.06285826,8.247922
1668497729106,-0.98539853,-0.15769519,-0.06417401,-0.0018524826,-0.6661854,-0.053108595,8.896285
1668497729883,-0.9835365,-0.15489107,-0.09308263,-6.7827106E-4,-0.68328226,-0.050062012,9.4389515
1668497730635,-0.9797951,-0.18300411,-0.07769874,0.021765709,-0.8318357,-0.050240517,9.972047
1668497731424,-0.98208016,-0.15717559,-0.10343303,-0.010766208,-0.82971954,-0.03870426,10.51094
1668497732126,-0.9869335,-0.14673817,-0.06443082,0.01669234,-0.9389035,-0.02931868,11.154763
