# timestamp, qw, qx, qy, qz, tx, ty, tz
1668497714635,-0.985778,0.1672813,0.015474662,-0.004393548,0.034832172,-0.019886926,0.034518503
1668497714797,-0.98626685,0.16394809,0.019382723,-0.004793018,0.035287,-0.019599706,0.034699116
1668497714968,-0.98610806,0.16523106,0.01635924,-0.004682541,0.03562722,-0.019359477,0.03344708
1668497715100,-0.98681945,0.16033326,0.021869332,-0.0014499426,0.038922887,-0.020304471,0.03073246
1668497715219,-0.9866952,0.1613563,0.019873537,0.0012826025,0.040959314,-0.021538146,0.027839625
1668497715332,-0.98664796,0.16117477,0.023280494,0.0025276244,0.044132255,-0.023484848,0.024093864
1668497715464,-0.98678696,0.16044715,0.022207156,0.0038521886,0.07047984,-0.030061565,0.026603473
1668497715570,-0.9870244,0.15819979,0.027044043,0.004898846,0.07380416,-0.030991957,0.025351282
1668497715702,-0.98706424,0.15624666,0.03455891,0.009834051,0.08309098,-0.031248813,0.019041928
1668497715831,-0.98584586,0.16254829,0.038024504,0.015492976,0.09802986,-0.03553615,0.0060279137
1668497715956,-0.9844514,0.17004693,0.041230954,0.015470922,0.10538283,-0.040313363,-0.010929426
1668497716115,-0.9837999,0.17413217,0.042403206,0.0041986704,0.12506384,-0.05203214,-0.031106051
1668497716219,-0.98326576,0.1777243,0.039881006,0.0034515262,0.14920193,-0.069348246,-0.06170242
1668497716336,-0.98129475,0.18590349,0.04946366,0.007340938,0.16508776,-0.07559594,-0.11075293
1668497716459,-0.9824465,0.17757747,0.055577736,0.0132706165,0.1810696,-0.08287354,-0.18017457
1668497716590,-0.9819326,0.1776426,0.064144716,0.011702478,0.19005218,-0.10097107,-0.25046262
1668497716731,-0.98049074,0.17698759,0.08528617,-0.006296277,0.192618,-0.10954313,-0.36658272
1668497716879,-0.9785454,0.18495408,0.09077715,-2.8434396E-4,0.19299151,-0.089997225,-0.45979452
1668497716974,-0.9838469,0.14404625,0.10584729,-0.00959605,0.19720677,-0.05340624,-0.58259535
1668497717083,-0.9859259,0.1302271,0.10465424,-0.006190449,0.20479743,-0.046654105,-0.65218604
1668497717166,-0.98545945,0.13786185,0.09912924,-0.0060949028,0.22724162,-0.0848009,-0.79299927
1668497717251,-0.9848055,0.15000454,0.08749434,-0.0011868477,0.24636483,-0.10269245,-0.8969113
1668497717332,-0.9839222,0.16235444,0.07428397,0.004473686,0.26240042,-0.09322032,-1.0101107
1668497717451,-0.9868083,0.14328761,0.07491571,-0.008099258,0.2746528,-0.06864268,-1.1126556
1668497717553,-0.9873463,0.14127648,0.07191779,-0.003984213,0.28190932,-0.054715633,-1.1760346
1668497717654,-0.9889561,0.135097,0.06092712,0.0015595853,0.2890087,-0.045798384,-1.2664436
1668497717792,-0.9917759,0.1223086,0.03719263,0.0061509907,0.29160047,-0.05680327,-1.3577452
1668497717897,-0.9917413,0.12790793,0.0072069913,0.0060566366,0.285338,-0.08277554,-1.4958559
1668497718029,-0.99204683,0.12563659,0.005873803,-0.004882425,0.27593017,-0.0852215,-1.5716083
1668497718118,-0.9910053,0.13007665,0.026532643,-0.016863912,0.26219982,-0.058325198,-1.7591166
1668497718217,-0.99179935,0.12617838,0.020146307,-0.0026679933,0.261855,-0.041925926,-1.8565664
1668497718351,-0.99282956,0.116356514,0.020867161,0.01774934,0.26494473,-0.048481263,-1.981301
1668497718441,-0.9928204,0.11674836,0.01895408,0.017836899,0.2675103,-0.06616431,-2.0445187
1668497718567,-0.9928558,0.11769925,0.01849408,0.0064955056,0.2718512,-0.08711813,-2.1510937
1668497718666,-0.9928043,0.11973048,-2.7210265E-4,0.0020368993,0.28024712,-0.078316405,-2.307135
1668497718753,-0.99412966,0.106441565,0.015435964,-0.01175499,0.2838251,-0.058845185,-2.4165525
1668497718848,-0.9932616,0.11479199,0.01583466,0.0018884242,0.29134086,-0.045299593,-2.5509095
1668497718971,-0.993778,0.11036721,0.014358718,0.0042527914,0.2921362,-0.05435092,-2.6185408
1668497719069,-0.9935523,0.11253311,0.013537545,0.002598852,0.29142612,-0.08395562,-2.7254004
1668497719179,-0.9919485,0.124442264,0.023188129,-0.0038090348,0.28156003,-0.10339136,-2.8439748
1668497719286,-0.9921174,0.121652454,0.030035507,0.0012950599,0.27679798,-0.08198419,-2.9989426
1668497719396,-0.99356186,0.106392026,0.038924724,4.1234493E-4,0.27681324,-0.06499711,-3.0659907
1668497719474,-0.9932587,0.1024502,0.053005524,0.011464357,0.28546047,-0.053189795,-3.1935823
1668497719558,-0.9917884,0.11402276,0.053088453,0.023156524,0.29584882,-0.07730598,-3.2899382
